Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Rafael Nadal [ESP],75,1.43,11201,0.55700,20,14-6,0.70000,0.10400,193,157-36,0.81300,1252,829-423,0.66200,1:53,44.1,45.5,0.40900,285,696,1.13,3.6,9.3,1.48,3.8,0.70800,223,315,0.5,1.6,4.2,0.48,1.2,0.42700,0.44000,0.07900,0.04000,0.34700,0.56000,0.46300,9.6,4.1,29,38.4,65-10,0.86700,0.70200,0.70100,277,0.05200,112,0.02100,0.06600,0.68100,0.74100,0.61800,0.66200,0.85500,8.3,2.5
2,Roger Federer [SUI],53,1.44,8669,0.55100,27,19-8,0.70400,0.18800,144,118-26,0.81900,998,630-368,0.63100,1:41,37.3,37.1,0.41100,188,457,0.92,3.2,8.6,1.31,3.5,0.67200,125,186,0.37,1.3,3.5,0.42,1.2,0.40100,0.40700,0.06100,0.03000,0.32700,0.51900,0.38000,9.3,3.7,28.5,49.6,49-4,0.92500,0.72100,0.69900,514,0.12600,95,0.02300,0.06200,0.62200,0.79700,0.59500,0.63400,0.87900,8.1,2.3
3,Andy Murray [GBR],35,1.19,6111,0.53200,17,12-5,0.70600,0.17200,99,70-29,0.70700,565,336-229,0.59500,2:12,46.8,45.5,0.47800,150,314,1.13,3.2,9,1.52,4.3,0.55800,126,226,0.79,2.3,6.5,1.01,2.9,0.42400,0.42400,0.05600,0.04200,0.34600,0.54000,0.53800,11.1,4.7,42.5,52.1,25-10,0.71400,0.64300,0.64000,201,0.06700,98,0.03200,0.08000,0.59500,0.72200,0.52900,0.57500,0.65000,10.6,3.8
4,Alexander Zverev [GER],73,1.14,11465,0.52200,32,19-13,0.59400,0.17100,187,126-61,0.67400,1577,874-703,0.55400,1:44,40.6,39.7,0.45800,214,467,0.6,2.5,6.4,1.14,2.9,0.64900,246,379,0.48,2,5.2,0.71,1.8,0.37100,0.37200,0.06200,0.03600,0.28900,0.50500,0.27300,7.3,2.7,39,50.7,54-19,0.74000,0.67300,0.66700,620,0.10800,253,0.04400,0.12300,0.64000,0.74800,0.54100,0.61600,0.83200,7.2,2.4
5,Marin Cilic [CRO],60,1.25,9997,0.53200,27,15-12,0.55600,0.16300,166,107-59,0.64500,1139,646-493,0.56700,1:58,42.8,42.6,0.38000,189,498,0.88,3,8.3,1.14,3.2,0.61400,189,308,0.53,1.9,5.1,0.72,2,0.38800,0.39900,0.07700,0.03200,0.31100,0.51600,0.33600,9.3,3.6,46,60,41-19,0.68300,0.68900,0.66500,715,0.15000,187,0.03900,0.09400,0.58400,0.80100,0.53200,0.58700,0.79300,8.3,2.6
6,Dominic Thiem [AUT],69,1.13,11127,0.51900,27,14-13,0.51900,0.15000,180,118-62,0.65600,1288,727-561,0.56400,1:50,42,40.8,0.40500,223,551,0.86,3.1,8,1.24,3.2,0.67700,298,440,0.68,2.4,6.4,0.79,2.1,0.38600,0.39100,0.05300,0.02700,0.31600,0.49700,0.34700,8.8,3.4,40,56.7,45-24,0.65200,0.65700,0.65600,415,0.07600,205,0.03800,0.09200,0.59300,0.74600,0.52800,0.58200,0.78000,8.5,2.9
7,Novak Djokovic [SRB],40,1.23,6376,0.53800,16,10-6,0.62500,0.15200,105,77-28,0.73300,726,439-287,0.60500,1:52,42.7,42.2,0.45000,152,338,0.94,3.2,8.5,1.45,3.8,0.62800,137,218,0.59,2.1,5.5,0.77,2,0.41800,0.43000,0.06900,0.03000,0.33700,0.55300,0.42500,8.9,3.7,40,55.9,32-8,0.80000,0.66000,0.65800,169,0.05300,79,0.02500,0.07300,0.66000,0.72500,0.53300,0.57500,0.78000,8.6,2.9
8,Grigor Dimitrov [BUL],61,1.19,9826,0.52900,25,17-8,0.68000,0.15500,161,108-53,0.67100,1299,725-574,0.55800,1:50,41.9,41.2,0.38800,175,451,0.7,2.8,7.4,1.09,2.9,0.70100,251,358,0.54,2.2,5.9,0.66,1.8,0.38000,0.39000,0.07500,0.03200,0.29700,0.51400,0.27300,7.7,2.9,36,62.7,43-18,0.70500,0.68000,0.67600,521,0.10700,226,0.04600,0.12600,0.63200,0.77400,0.51800,0.59300,0.83700,7.4,2.4
9,Stanislas Wawrinka [SUI],37,1.08,6438,0.51500,20,14-6,0.70000,0.19200,104,67-37,0.64400,765,417-348,0.54500,1:56,41.3,40,0.40100,113,282,0.75,2.7,7.6,1.09,3.1,0.65400,157,240,0.62,2.3,6.5,0.8,2.2,0.36600,0.36600,0.05800,0.03400,0.28700,0.49300,0.29900,8.4,3.1,32,40.7,26-11,0.70300,0.66100,0.64900,264,0.08100,83,0.02600,0.06300,0.59700,0.72500,0.56500,0.60300,0.78600,8.4,2.9
10,David Goffin [BEL],72,1.14,11534,0.52300,33,19-14,0.57600,0.17900,184,118-66,0.64100,1564,863-701,0.55200,1:46,41.6,39.8,0.41400,246,594,0.76,3.2,8.3,1.34,3.4,0.64200,292,455,0.58,2.5,6.3,0.89,2.3,0.40200,0.41000,0.07700,0.04100,0.30700,0.54200,0.31400,7.4,3,51.5,61.7,51-21,0.70800,0.64700,0.64300,418,0.07300,197,0.03500,0.08200,0.57700,0.73500,0.52800,0.57500,0.79100,7.3,2.6
11,Pablo Carreno Busta [ESP],59,1.05,9727,0.51200,26,18-8,0.69200,0.16300,160,96-64,0.60000,1165,622-543,0.53400,1:51,40.8,40.3,0.43300,206,476,0.81,3,8.1,1.29,3.5,0.62400,270,433,0.75,2.7,7.3,1.02,2.8,0.39000,0.39500,0.07300,0.03900,0.29900,0.52600,0.35200,8.2,3.2,50,76.6,36-23,0.61000,0.62900,0.62600,216,0.04400,103,0.02100,0.06400,0.67400,0.68100,0.52300,0.55900,0.71800,8.5,3.2
12,Milos Raonic [CAN],41,1.21,6466,0.52600,27,16-11,0.59300,0.25700,105,70-35,0.66700,722,407-315,0.56400,1:47,41.7,40.6,0.35000,92,263,0.74,2.5,6.4,0.88,2.2,0.66200,102,154,0.42,1.5,3.8,0.5,1.3,0.35100,0.35300,0.06300,0.03100,0.27800,0.48700,0.25900,9.3,3.3,40,70,29-12,0.70700,0.70900,0.68200,567,0.18000,138,0.04400,0.12200,0.64100,0.79300,0.55900,0.63700,0.85800,8.6,2.5
13,Sam Querrey [USA],56,1.13,9182,0.51900,28,14-14,0.50000,0.18200,154,92-62,0.59700,1022,566-456,0.55400,1:41,36.6,36.8,0.41900,157,375,0.75,2.4,6.7,1.02,2.8,0.63200,189,299,0.58,1.9,5.3,0.71,2,0.36300,0.37200,0.08400,0.03600,0.28200,0.49300,0.31200,9.3,3.4,52,94.9,36-20,0.64300,0.67800,0.64400,755,0.16700,180,0.04000,0.09400,0.57500,0.80300,0.50800,0.56100,0.78800,8.7,2.8
14,John Isner [USA],56,1.06,9527,0.50800,61,38-23,0.62300,0.41500,147,88-59,0.59900,1252,649-603,0.51800,1:50,41.8,38.7,0.35000,77,220,0.35,1.5,3.9,0.52,1.4,0.71800,145,202,0.32,1.4,3.6,0.39,1,0.29000,0.29500,0.09500,0.03200,0.21700,0.40800,0.12400,7.6,2.2,58,71.6,35-21,0.62500,0.72500,0.66600,1079,0.22600,117,0.02400,0.08200,0.70200,0.79700,0.55800,0.60800,0.90900,7.6,2.1
15,Jo Wilfried Tsonga [FRA],48,1.25,7838,0.53100,27,15-12,0.55600,0.21300,127,85-42,0.66900,1028,587-441,0.57100,1:46,39.9,38.8,0.40200,145,361,0.7,2.8,7.5,1.14,3,0.64300,128,199,0.39,1.6,4.1,0.56,1.5,0.38100,0.37900,0.05800,0.03700,0.30300,0.50200,0.28200,7.9,3,46,60.5,35-13,0.72900,0.69400,0.67400,465,0.12400,111,0.03000,0.07500,0.60800,0.80000,0.53100,0.57400,0.86200,7.3,2.2
16,Kevin Anderson [RSA],54,1.2,8947,0.52500,36,19-17,0.52800,0.25200,143,87-56,0.60800,894,504-390,0.56400,1:55,43.4,41.6,0.36400,118,324,0.74,2.3,6,0.83,2.2,0.69600,156,224,0.49,1.6,4.1,0.48,1.3,0.35200,0.34800,0.05700,0.03700,0.28000,0.47200,0.26800,10.4,3.7,42.5,67.7,34-20,0.63000,0.70600,0.67300,741,0.16900,143,0.03300,0.09300,0.64900,0.79200,0.54900,0.60500,0.85000,9.6,2.8
17,Juan Martin Del Potro [ARG],53,1.1,8687,0.51300,26,17-9,0.65400,0.18600,140,89-51,0.63600,1029,553-476,0.53700,2:01,45.9,44.4,0.37100,145,391,0.76,2.8,7.4,1.04,2.7,0.59900,157,262,0.51,1.9,4.9,0.75,2,0.36400,0.37800,0.10500,0.04100,0.27700,0.49900,0.28100,8.6,3.1,35,64.1,38-15,0.71700,0.67000,0.65100,467,0.11100,123,0.02900,0.08200,0.64300,0.76100,0.50700,0.55200,0.79500,8.2,2.7
18,Lucas Pouille [FRA],53,1.06,8887,0.51000,31,16-15,0.51600,0.22000,141,84-57,0.59600,1023,544-479,0.53200,1:46,39.7,37.8,0.40900,149,364,0.71,2.6,6.9,1.06,2.8,0.65200,219,336,0.66,2.4,6.3,0.83,2.2,0.36500,0.36600,0.08100,0.04500,0.26600,0.51300,0.29200,8.7,3.2,56,64.9,34-19,0.64200,0.65600,0.65200,442,0.10000,211,0.04800,0.10800,0.56200,0.75200,0.53200,0.59700,0.77100,8.7,3
