Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Simona Halep [ROU],64,1.15,8715,0.52900,14,5-Sep,0.64300,0.09400,149,102-47,0.68500,1041,611-430,0.58700,1:27,37.3,38.2,0.48200,285,591,1.13,4,9.2,1.91,4.5,0.58000,265,457,0.88,3.1,7.1,1.29,3,0.47000,0.45800,0.02800,0.04600,0.40100,0.58800,0.54500,8.6,4,32,70.4,47-17,0.73400,0.59100,0.60200,100,0.02400,145,0.03400,0.10600,0.67600,0.64400,0.48000,0.53600,0.62900,8.2,3.3
2,Garbine Muguruza [ESP],68,1.11,8814,0.52100,12,8-Apr,0.33300,0.07800,154,99-55,0.64300,1078,614-464,0.57000,1:31,40,42,0.49500,269,543,1,3.5,8,1.75,4,0.56600,248,438,0.82,2.8,6.4,1.23,2.8,0.45400,0.44500,0.04500,0.05200,0.37900,0.57400,0.49500,8.2,3.7,31.5,45.1,47-21,0.69100,0.59100,0.59800,179,0.04100,170,0.03900,0.11100,0.64800,0.65900,0.46500,0.52300,0.64500,8.1,3.3
3,Caroline Wozniacki [DEN],81,1.16,10999,0.53400,14,7-Jul,0.50000,0.07500,187,127-60,0.67900,1416,847-569,0.59800,1:36,41.6,42.5,0.52000,365,702,1.01,3.8,8.7,1.95,4.5,0.58300,332,569,0.79,3,7,1.27,2.9,0.47400,0.46700,0.03800,0.04800,0.41100,0.58500,0.52400,7.8,3.7,44.5,69.8,60-21,0.74100,0.59200,0.59400,221,0.04000,174,0.03100,0.09600,0.67500,0.64800,0.47600,0.52700,0.67000,7.8,3.2
4,Karolina Pliskova [CZE],71,1.18,9795,0.53100,20,12-Aug,0.40000,0.12400,161,112-49,0.69600,1201,712-489,0.59300,1:44,45.9,45.2,0.44000,266,604,1.01,3.8,8.5,1.65,3.7,0.61100,243,398,0.66,2.5,5.6,0.96,2.2,0.43800,0.42700,0.04000,0.04900,0.36400,0.55500,0.44300,8.3,3.6,31.5,43.4,53-18,0.74600,0.62800,0.61600,461,0.09600,197,0.04100,0.10000,0.59000,0.72900,0.48200,0.53500,0.74200,8,3
5,Venus Williams [USA],52,1.11,7725,0.52300,14,3-Nov,0.78600,0.11600,121,82-39,0.67800,761,441-320,0.58000,1:38,42,39.5,0.43400,217,500,1.34,4.1,9.6,1.79,4.2,0.61000,256,420,1.08,3.5,8.1,1.36,3.2,0.45600,0.44700,0.04500,0.05300,0.39700,0.55300,0.58200,10.3,4.7,46,67.4,38-14,0.73100,0.58900,0.61300,182,0.04700,272,0.07000,0.18100,0.61300,0.67700,0.44900,0.54800,0.57700,10,4.1
6,Elina Svitolina [UKR],67,1.18,9864,0.53500,17,7-Oct,0.58800,0.10900,156,114-42,0.73100,1149,695-454,0.60500,1:39,42.5,40.3,0.47100,326,692,1.21,4.4,10.3,2.09,4.9,0.58900,300,509,0.88,3.3,7.6,1.34,3.1,0.47700,0.47000,0.03400,0.04500,0.40900,0.59300,0.57100,8.8,4.2,46,66.9,53-14,0.79100,0.59400,0.60200,202,0.04200,198,0.04100,0.10400,0.60500,0.66800,0.48000,0.53600,0.63800,8.4,3.4
7,Jelena Ostapenko [LAT],63,1.07,9412,0.51400,15,7-Aug,0.53300,0.09900,152,93-59,0.61200,1028,564-464,0.54900,1:40,41.5,40.3,0.46900,319,680,1.31,4.5,10.8,2.1,5.1,0.52800,296,561,1.1,3.7,8.9,1.74,4.2,0.47700,0.47800,0.05300,0.04600,0.40800,0.59600,0.61600,9.3,4.4,45,55.6,43-20,0.68300,0.55300,0.58400,178,0.03900,370,0.08000,0.17000,0.52700,0.65500,0.44000,0.53000,0.48000,9,4
8,Caroline Garcia [FRA],70,1.08,9992,0.51600,21,9-Dec,0.57100,0.13000,161,101-60,0.62700,1283,707-576,0.55100,1:37,42.1,40.7,0.43300,257,593,0.94,3.7,8.5,1.6,3.7,0.58400,279,478,0.74,3,6.8,1.24,2.8,0.42700,0.41200,0.04500,0.05700,0.36000,0.53900,0.40500,7.8,3.3,55,65.3,48-22,0.68600,0.60300,0.60000,343,0.06800,204,0.04100,0.11300,0.64200,0.66100,0.50000,0.56400,0.69300,7.8,3.1
9,Johanna Konta [GBR],54,1.15,7498,0.52600,16,10-Jun,0.37500,0.12700,126,83-43,0.65900,955,552-403,0.57800,1:35,40.7,41,0.42500,202,475,0.99,3.8,8.8,1.6,3.7,0.57800,171,296,0.62,2.3,5.5,0.99,2.3,0.43500,0.42200,0.04600,0.05600,0.36100,0.55700,0.42100,8.1,3.5,37,50.5,37-17,0.68500,0.62300,0.62000,225,0.06200,124,0.03400,0.09100,0.62400,0.69600,0.50100,0.55200,0.73700,7.6,2.9
10,Kristina Mladenovic [FRA],63,1.07,9039,0.51400,16,8-Aug,0.50000,0.11100,144,81-63,0.56300,1163,615-548,0.52900,1:42,44.6,42.6,0.45200,238,527,0.91,3.7,8.4,1.65,3.8,0.57800,283,490,0.84,3.4,7.8,1.44,3.3,0.44200,0.42600,0.03000,0.05200,0.37800,0.55700,0.41100,7.9,3.5,48,54.6,38-25,0.60300,0.58600,0.60700,283,0.06300,336,0.07500,0.18900,0.60300,0.68200,0.44200,0.54500,0.64600,7.7,3.2
